Filename;Subset_1;Subset_2;Subset_3;Subset_4;Subset_5;Subset_6;Subset_7;Subset_8;Subset_9;Subset_10;Subset_11;Subset_12;Subset_13;Subset_14;Subset_15;Subset_16;Subset_17;Subset_18;Subset_19;Subset_20;Subset_21;Subset_22;Subset_23;Subset_24;Subset_25;Subset_26;Subset_27;Subset_28;Subset_29;Mean;Median;Std_Dev
S9001171.txt;978.097884254;493.727245299;852.146550079;986.814210787;462.125677464;935.280380992;1016.31926972;1333.15642376;881.07533095;1041.2398933;1664.86435828;1816.23984196;1875.18911361;1294.71725131;2635.3314374;1750.86750442;2037.08628479;1303.59100108;2172.01491321;1779.78470376;2211.94962435;1405.79137623;1318.37371242;554.278808172;;;;;;;;
S9001023.txt;706.748292822;305.462919265;413.291714809;333.665892879;474.899269224;653.662239412;1455.09654416;553.282839301;670.726823106;630.584868874;521.837267578;625.619325535;622.731673158;468.716819992;463.24363638;479.333291984;429.333962688;1768.83954499;495.351118642;617.764699422;566.430757111;534.368863059;674.017270394;1140.15244713;2001.72966032;4484.04021015;1954.04518386;1492.00741377;3993.02490072;1018.27618796;624.175499347;967.167099196
S9001090.txt;785.222286455;662.809919478;750.38801593;789.482075129;717.215434778;747.067756823;653.526932586;772.084801654;811.896726719;606.194807724;828.351796436;597.111614854;424.806633033;677.676269026;854.726501046;653.865545186;863.342876634;832.3996798;690.825460521;1305.70514652;877.230568137;425.8913731;495.053307754;600.678166851;1266.45633837;1730.06817121;1756.5747698;1987.51154967;2189.12974903;908.734285319;778.653544055;435.357775752
S9001231.txt;916.072979899;2890.81665773;923.663127311;991.561726522;1211.07584869;936.243160088;964.928508574;839.35167834;576.045317718;758.384693601;923.774470537;691.528938771;3345.86889497;2681.56515432;2697.97520696;2740.65486732;2291.12713127;2306.98818498;2550.48313442;1644.1110359;1101.31878761;884.354620126;;;;;;;;;;
S9002053.txt;319.989822496;379.708019285;382.048711238;349.211037018;317.250694545;371.545162668;407.226406541;354.347769831;576.866914443;342.709505648;424.164489434;367.1729142;561.968446652;891.901169225;1200.39035029;1413.69606479;2262.25123033;1204.29622271;745.675461203;677.495810134;415.695447987;479.518801661;;;;;;;;;;
S8001053.txt;1286.22085428;878.213457835;943.801604447;967.225738211;1405.13687978;1015.99819709;892.79233878;756.838269592;861.514600984;610.768915209;591.199015208;940.318504157;612.968984082;520.43372457;509.668530753;611.627696933;837.795456994;861.514600984;238.97466174;;;;;;;;;;;;;
S9002044.txt;494.328170482;356.130630143;651.077345607;560.484387643;651.951077093;598.367162967;646.687950246;576.823128074;348.79047567;354.618208227;760.36532955;1752.19161979;429.261061114;465.01825683;1928.18128656;257.745722354;1466.88403916;638.646203989;1535.09474272;805.343960558;1376.69721141;1187.45177667;648.540997476;602.652202731;820.854019203;637.917098327;460.07398867;778.228816787;642.667077117;428.93304981;;
S9002037.txt;929.764011413;810.922140914;799.192646149;1523.45270295;1112.96647092;1197.76760429;1386.16649176;1063.89565727;1194.31435106;1238.22253355;733.783783418;617.736855566;506.747112859;982.988089249;688.325373309;555.674953508;629.977529214;355.573233252;581.335685012;883.373158698;2104.65537066;2331.03342742;4695.81939255;2882.74452136;1241.93471235;982.988089249;898.850773622;;;;;
S0001312.txt;827.433989384;1279.77249761;2191.00641056;434.670104664;760.857390864;391.344408613;192.746063056;320.124824619;570.113090349;195.683744338;837.694932408;661.490333573;410.60505371;420.38149668;2339.88071381;1715.33329332;875.219822238;428.597759684;216.690939102;715.803475491;723.499695235;2142.31932504;854.560073692;2618.29313451;921.838440523;723.499695235;687.796297468;;;;;
S9002018.txt;1143.84771804;1234.69441813;1655.82055599;1385.09168637;1212.49984779;1413.79621767;1136.13000055;1047.15146833;702.922301419;828.162206716;646.364347763;721.9958735;842.068066435;1682.74774967;1843.86673559;1292.62046779;1317.94509886;2014.45182541;1357.19352065;1341.50944387;1585.56865589;1240.94771327;5658.04937324;1826.85129035;1123.85081451;2436.01008642;1488.15990324;1317.94509886;897.741840638;;;
