Tempo(seg) FCF(bpm)
 0.001 164.000
 0.501 166.000
 1.001 166.999
 1.501 165.998
 2.001 166.987
 2.501 166.182
 3.001 152.165
 3.501 151.125
 4.001 152.014
 4.501 153.938
 5.001 155.000
 5.501 153.000
 6.001 152.992
 6.501 152.943
 7.001 150.585
 7.501 126.630
 8.001 109.437
 8.501 107.861
 9.001 110.997
 9.501 118.846
10.001 125.000
10.501 134.000
11.001 134.110
11.501 136.124
12.001 139.993
12.501 141.115
13.001 138.844
13.501 138.887
14.001 137.951
14.501 139.984
15.001 144.042
15.501 143.991
16.001 146.197
16.501 148.009
17.001 151.141
17.501 149.957
18.001 148.657
18.501 146.773
19.001 145.000
19.501 144.000
20.001 143.993
20.501 144.994
21.001 143.962
21.501 143.028
22.001 141.936
22.501 142.022
23.001 140.999
23.501 142.027
24.001 141.000
24.501 142.000
25.001 141.998
25.501 141.942
26.001 140.076
26.501 140.991
27.001 141.026
27.501 139.975
28.001 138.045
28.501 139.018
29.001 137.000
29.501 138.000
30.001 140.023
30.501 139.967
31.001 140.027
31.501 139.188
32.001 143.221
32.501 146.154
33.001 151.985
33.501 155.872
34.001 158.000
34.501 162.000
35.001 163.061
35.501 164.017
36.001 166.032
36.501 166.003
37.001 166.023
37.501 164.797
38.001 164.015
38.501 158.068
39.001 155.969
39.501 145.075
40.001 136.952
40.501 137.005
41.001 135.929
41.501 135.994
42.001 136.005
42.501 136.062
43.001 132.585
43.501 129.032
44.001 125.483
44.501 122.008
45.001 123.343
45.501 130.930
46.001 133.101
46.501 134.011
47.001 136.894
47.501 139.730
48.001 142.000
48.501 142.000
49.001 143.028
49.501 143.004
50.001 143.058
50.501 144.048
51.001 145.099
51.501 144.921
52.001 144.995
52.501 144.002
53.001 145.000
53.501 144.000
54.001 144.000
54.501 144.023
55.001 140.815
55.501 140.007
56.001 140.116
56.501 139.899
57.001 140.986
57.501 141.015
58.001 140.000
58.501 142.000
59.001 144.046
59.501 145.030
60.001 145.011
60.501 145.108
61.001 147.018
61.501 146.070
62.001 146.970
62.501 145.057
63.001 144.000
63.501 144.000
64.001 145.046
64.501 141.924
65.001 141.991
65.501 141.996
66.001 142.036
66.501 140.055
67.001 140.977
67.501 140.977
68.001 142.000
68.501 144.000
69.001 143.032
69.501 144.028
70.001 143.991
70.501 143.798
71.001 142.103
71.501 138.011
72.001 138.006
72.501 138.983
73.001 140.000
73.501 141.000
74.001 139.982
74.501 142.068
75.001 143.041
75.501 145.323
76.001 146.972
76.501 148.002
77.001 147.000
77.501 145.000
78.001 144.967
78.501 144.008
79.001 144.042
79.501 140.860
80.001 142.078
80.501 140.940
81.001 141.003
81.501 141.019
82.001 140.000
82.501 140.000
83.001 135.879
83.501 138.106
84.001 140.040
84.501 141.045
85.001 141.963
85.501 138.205
86.001 136.053
86.501 136.022
87.001 135.000
87.501 136.000
88.001 136.013
88.501 139.043
89.001 138.976
89.501 141.070
90.001 141.989
90.501 140.941
91.001 142.028
91.501 141.962
92.001 140.000
92.501 139.000
93.001 138.996
93.501 138.973
94.001 137.807
94.501 139.868
95.001 141.968
95.501 141.960
96.001 143.043
96.501 140.989
97.001 141.000
97.501 140.000
98.001 138.956
98.501 142.196
99.001 145.964
99.501 145.997
100.001 146.007
100.501 146.089
101.001 143.991
101.501 144.038
102.001 142.000
102.501 144.000
103.001 142.903
103.501 141.954
104.001 141.016
104.501 140.982
105.001 141.954
105.501 141.978
106.001 140.086
106.501 138.033
107.001 135.972
107.501 134.819
108.001 135.364
108.501 128.793
109.001 127.102
109.501 123.290
110.001 118.129
110.501 101.993
111.001 101.000
111.501 102.000
112.001 106.016
112.501 107.206
113.001 114.040
113.501 104.497
114.001 115.354
114.501 103.710
115.001 103.017
115.501 102.971
116.001 104.000
116.501 112.000
117.001 108.087
117.501 110.046
118.001 102.692
118.501 102.989
119.001 102.049
119.501 101.999
120.001 101.972
120.501 102.866
121.001 111.000
121.501 101.000
122.001 112.388
122.501 100.662
123.001 111.580
123.501 98.529
124.001 98.954
124.501 101.078
125.001 99.998
125.501 100.039
126.001 108.000
126.501 98.000
127.001 111.327
127.501 110.851
128.001 104.733
128.501 107.492
129.001 99.905
129.501 100.910
130.001 99.046
130.501 99.037
131.001 97.000
131.501 100.000
